YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2018,$372600,$385600,$758200,$372600,$385600,$758200,212 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=146,03/16/2017,$790000.00,Residential,Colonial,1812,36250,25,1.75,5,2 Bedrooms,1,1
2017,$378600,$394800,$773400,$378600,$394800,$773400,212 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=146,03/16/2017,$790000.00,Residential,Colonial,1812,36250,25,1.75,5,2 Bedrooms,1,1
2016,$368800,$376400,$745200,$368800,$376400,$745200,212 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=146,03/16/2017,$790000.00,Residential,Colonial,1812,36250,25,1.75,5,2 Bedrooms,1,1
2018,$361900,$393300,$755200,$361900,$393300,$755200,178 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=147,02/25/2013,$700000.00,Residential,Ranch,1959,45660,25,1 Story,7,3 Bedrooms,2,1
2017,$320100,$402700,$722800,$320100,$402700,$722800,178 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=147,02/25/2013,$700000.00,Residential,Ranch,1959,45660,25,1 Story,7,3 Bedrooms,2,1
2016,$288700,$384000,$672700,$288700,$384000,$672700,178 SILVER HILL RD,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=147,02/25/2013,$700000.00,Residential,Ranch,1959,45660,25,1 Story,7,3 Bedrooms,2,1
2018,$212300,$394000,$606300,$212300,$394000,$606300,45 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=278,03/31/2011,$534000.00,Residential,Rsd Rnch/Splt Lvl,1252,46970,25,1 Story,7,3 Bedrooms,2,0
2017,$204400,$403400,$607800,$204400,$403400,$607800,45 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=278,03/31/2011,$534000.00,Residential,Rsd Rnch/Splt Lvl,1252,46970,25,1 Story,7,3 Bedrooms,2,0
2016,$205300,$384600,$589900,$205300,$384600,$589900,45 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=278,03/31/2011,$534000.00,Residential,Rsd Rnch/Splt Lvl,1252,46970,25,1 Story,7,3 Bedrooms,2,0
2018,$271100,$391300,$662400,$271100,$391300,$662400,49 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=279,10/01/2012,$592500.00,Residential,Colonial,1640,41742,25,2 Stories,6,3 Bedrooms,1,1
2017,$271100,$400600,$671700,$271100,$400600,$671700,49 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=279,10/01/2012,$592500.00,Residential,Colonial,1640,41742,25,2 Stories,6,3 Bedrooms,1,1
2016,$267300,$382000,$649300,$267300,$382000,$649300,49 WHIPPOORWILL LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=279,10/01/2012,$592500.00,Residential,Colonial,1640,41742,25,2 Stories,6,3 Bedrooms,1,1
